comment,score,sentiment,account_type
I’m 19 and I’m trying to lose weight can you do more food recipes,0.1,Neutral,Fitness Coach / Gym
What if ur 14 and want to gain muscle,0,Neutral,Fitness Coach / Gym
Can you give some explains of Whole Foods,0,Neutral,Fitness Coach / Gym
can i drink flavoured water? i don’t like normal water that much 🥰,0.3,Positive,Fitness Coach / Gym
@itsmorea1,0,Neutral,Fitness Coach / Gym
thank you so muchhhh,0.5,Positive,Fitness Coach / Gym
Bruh😂😂just join sports at school and put yourself in a calorie deficit,0.2,Neutral,Fitness Coach / Gym
im early 🥰,0.4,Positive,Fitness Coach / Gym
omgg heyyy,0.3,Positive,Fitness Coach / Gym
"yup i started to drink more water. nd it rlly helps me to poop daily haha also keeps my skin glow, moisturized n dark circles under eyes lighten",0.5,Positive,Fitness Coach / Gym
@shaqtx,0,Neutral,Fitness Coach / Gym
can you help me .how to lose weight from 86 to 58 .i am doing exercises since 1 month ago but just lose 2 kgs really worried sis can you tell me,-0.4,Negative,Fitness Coach / Gym
https://digistore24.com/redir/382628/productcrew/,0,Neutral,Fitness Coach / Gym
😁,0.5,Positive,Fitness Coach / Gym
"oot symppis, kiva video🥰",0.4,Positive,Influencer
❣️Kiva video ❣️,0.4,Positive,Influencer
kiva video🤩,0.5,Positive,Influencer
"Miten säilytät kurkut, salaatit, tomaatit tms että säilyy kuukauden? Itse käyn kerran viikossa kaupassa ja tuntuu, että menee viikossa jo huonoksi 🥵",-0.2,Neutral,Influencer
Osa kommentoijista ei selkeesti ymmärrä elämäntapmuutoksista mitään tai siitä miten kestäviä muutoksia oikeesti tehdään. Hyvät ostokset ja tsemppiä jatkoon,0.3,Positive,Influencer
"En ymmärrä miksi ihmiset valittavat että hunot ostokset plaa plaa, valtaosa tuotteista oli hyviä ja terveellisiä ja saa herkutella, varsinkin jos se auttaa hallitsemaan herkkujen syömistä❤️",0.4,Positive,Influencer
En tiiä onko nuo yhdelle ihmiselle mutta ihan älyttömästi e kyllä ruokaan rahaa jos on.,-0.1,Neutral,Influencer
Se Pågenin limppu on tosi hyvää,0.5,Positive,Influencer
Kuinka suuren perheen ostokset?,0,Neutral,Influencer
"Ootko maistanu Profeelin niitä mousseja? Se uus vadelma on aivan taivaallisen makusta, 90kcal ja hyvä vaihtoehto noihin vanukkaisiin 🤩",0.6,Positive,Influencer
Ootko miettiny että taitavat olla melko prosessoituja. Porkkanaa voi syödä ihan pelkästäänkin naposteluun.,-0.1,Neutral,Influencer
paljonko maksoit?,0,Neutral,Influencer
"mäkin teen samaa et pilkon vihannekset kaappiin, hyvät välipalat 🙂",0.3,Positive,Influencer
"Kivasti sulla kasviksia ja maustamattomia lihoja. 👌 Suolistomikrobiston (joka vaikuttaa painonhallintaan) takia tsekkaisin noita prosessoituja ja lisäaineellisia tuotteita vähemmälle, makurahkojen...",0.1,Neutral,Influencer
Hyvät ostokset,0.5,Positive,Influencer
"Heti kun avasin videon niin oli päivänselvää että protskurahkoja tulee näkymään ruudussa, eikä pettänyt 😀 mutta muutoin oli yllätys miten monipuoliset ostokset",0.4,Positive,Influencer
"mielestäni näytti tosi hyviltä ostoksilta. joku jo mainitsikin noista prosessoiduista ja niiden vähentämisestä, mutta vähän on kiinni sun resepteistä eli missä käytät ja miten paljon. hyvä ruokavalio!",0.3,Positive,Influencer
Hyvännäköiset ostokset! 🤩,0.6,Positive,Influencer
Hyvät odtokset,0.5,Positive,Influencer
nam tuo sitruuna rahka😍,0.7,Positive,Influencer
hyvältä näyttää🥰,0.8,Positive,Influencer
hyviä ruokia ❤️,0.7,Positive,Influencer
😁😁😁,0.8,Positive,Influencer
😋,0.6,Positive,Influencer
"In my HEAD I sound like you, whatever comes out of my mouth is an entirely matter...😂",0.2,Neutral,Fitness Coach / Gym
beautiful voice and you are stunning🥰,0.9,Positive,Fitness Coach / Gym
Amazing voice 🥰,0.9,Positive,Fitness Coach / Gym
amazing 🥰🥰,0.8,Positive,Fitness Coach / Gym
You have a beautiful voice 🥰🥰,0.9,Positive,Fitness Coach / Gym
wow your amazing 😍 xx,0.8,Positive,Fitness Coach / Gym
💞,0.9,Positive,Fitness Coach / Gym
You are looking beautiful and gorgeous 🌹,0.9,Positive,Fitness Coach / Gym
💜💜💜,0.5,Positive,Fitness Coach / Gym
It’s such a bop 🥰,0.8,Positive,Fitness Coach / Gym
smashed ittttt!!!❤️❤️❤️,0.9,Positive,Fitness Coach / Gym
Beautiful 🥰,0.6,Positive,Fitness Coach / Gym
beautiful 😍 love this song,0.7,Positive,Fitness Coach / Gym
🥰🥰 wow,0.5,Positive,Fitness Coach / Gym
Great voice,0.4,Positive,Fitness Coach / Gym
Great voice also love the wood panelling,0.5,Positive,Fitness Coach / Gym
wow great voice you have ❤️,0.6,Positive,Fitness Coach / Gym
Fabulous voice ❤️❤️,0.7,Positive,Fitness Coach / Gym
amazing voice wow 🥰,0.6,Positive,Fitness Coach / Gym
Why is the search bar @Natasha Bedingfield dumpy?? 😂😂😂😂,-0.3,Negative,Fitness Coach / Gym
Amazing voice😍,0.6,Positive,Fitness Coach / Gym
Woah girl👏🏼👏🏼👏🏼,0.5,Positive,Fitness Coach / Gym
Wow amazing voice 💜,0.6,Positive,Fitness Coach / Gym
Wow what a beautiful voice 🥰,0.7,Positive,Fitness Coach / Gym
lovely voice...sing more please xx,0.5,Positive,Fitness Coach / Gym
"Lush voice, Amazing 🤩 xxxx",0.6,Positive,Fitness Coach / Gym
Woooooow,0.4,Positive,Fitness Coach / Gym
🥰🥰🥰🥰🥰,0.5,Positive,Fitness Coach / Gym
You have such an amazing voice ❤,0.7,Positive,Fitness Coach / Gym
wow 🥰,0.5,Positive,Fitness Coach / Gym
🥰🥰,0.9,Positive,Fitness Coach / Gym
🧚🏻‍♀️🤩🧚🏻‍♀️xx,0.5,Positive,Fitness Coach / Gym
you have such a lovely voice ❤,0.6,Positive,Fitness Coach / Gym
you have such a beautiful voice!🥰,0.7,Positive,Fitness Coach / Gym
didn't take long for those anxious hands to leave 🧡 I got goosebumps 🥰,0.6,Positive,Fitness Coach / Gym
❤️❤️❤️❤️,0.5,Positive,Fitness Coach / Gym
You have a great voice followed you ❤️🤩,0.8,Positive,Fitness Coach / Gym
🫶,0.2,Neutral,Fitness Coach / Gym
You have such an amazing voice ❤️,0.8,Positive,Fitness Coach / Gym
Wow amazing voice ♥️,0.7,Positive,Fitness Coach / Gym
🥹🥹😍😍,0.6,Positive,Fitness Coach / Gym
Yessssss 😍😍😍👏👏👏,0.9,Positive,Fitness Coach / Gym
following. Amazing voice hun 🥰🥰🥰,0.7,Positive,Fitness Coach / Gym
beautiful 🥰,0.6,Positive,Fitness Coach / Gym
"you smashed it ,😁",0.5,Positive,Fitness Coach / Gym
Fyp,0,Neutral,Fitness Coach / Gym
😍😍😍,1,Positive,Fitness Coach / Gym
Beautiful 😍,0.6,Positive,Fitness Coach / Gym
Beautiful,0.4,Positive,Fitness Coach / Gym
@Natasha Bedingfield 🥰,0.5,Positive,Fitness Coach / Gym
Amazing 👏❤️,0.7,Positive,Fitness Coach / Gym
Beautiful voice xxx🥰,0.7,Positive,Fitness Coach / Gym
Omg wow 💗💗💗💗,0.8,Positive,Fitness Coach / Gym
You go girl😍 Love Love Love it♥️♥️♥️,0.9,Positive,Fitness Coach / Gym
"Well done, lovely voice 🥰❤️",0.8,Positive,Fitness Coach / Gym
😍😍,0.6,Positive,Fitness Coach / Gym
🥰🥰🥰,0.6,Positive,Fitness Coach / Gym
Beautiful voice!,0.6,Positive,Fitness Coach / Gym
Amazing voice!,0.7,Positive,Fitness Coach / Gym
Go ed girly👏🏻👏🏻👏🏻xxx,0.7,Positive,Fitness Coach / Gym
"Lady 😮 legit got goosebumps!! Wow, you sound incredible 🥰🥰🥰",0.9,Positive,Fitness Coach / Gym
❤️❤️❤️,0.5,Positive,Fitness Coach / Gym
Fantastic🥰,0.9,Positive,Fitness Coach / Gym
Love your voice 🥰,0.9,Positive,Fitness Coach / Gym
wow💖,0.7,Positive,Fitness Coach / Gym
Please be kind ❤️I was super nervous posting this 🙈🙈,0.3,Positive,Fitness Coach / Gym
❤️❤️,0.6,Positive,Fitness Coach / Gym
Any tips ?,0,Neutral,Influencer
I'm going to start my son is 7 and wts 188,0,Neutral,Influencer
How long it took?,0,Neutral,Influencer
👏👏👏👏👏 This is an inspiration. Gets me excited about continuing to work out with my daughter.,0.8,Positive,Influencer
Great job mama!,0.7,Positive,Influencer
What did you do? Wjat food did she eat and how much did you guys exercise? I don’t know how to start helping my son,0,Neutral,Influencer
Great job!!! You just motivated me!,0.9,Positive,Influencer
Awww yesss queen 🥰🥰🥰,0.9,Positive,Influencer
"wow, AMAZING 🥰🥰",0.8,Positive,Influencer
Good job baby girl! You look amazing 😍,0.9,Positive,Influencer
She looks so good!!! Hard work paid off,0.8,Positive,Influencer
Yes ma’am boo!!!,0.7,Positive,Influencer
beautifullll.,0.6,Positive,Influencer
Ur a good mom❤️,0.8,Positive,Influencer
great job 🥰,0.8,Positive,Influencer
great job!!!,0.9,Positive,Influencer
That’s incredible!,0.8,Positive,Influencer
Good job beautiful. 👏🏼 💪🏾 👑,0.8,Positive,Influencer
❤❤❤,0.5,Positive,Influencer
💓💓💓,0.6,Positive,Influencer
🥰🥰🥰,0.6,Positive,Influencer
👏🏾👏🏾👏🏾,0.6,Positive,Influencer
@Angie.foale,0,Neutral,Influencer
🥰🥰🥰🥰🥰🥰,0.6,Positive,Influencer
Can you help me I am 14 && Iam trying to lost weight,-0.1,Neutral,Influencer
I’m an 12 year old girl that’s over weight is there any tips. Because my mom tells me it’s 80% the way you eat and 20% workout . But when I don’t eat I have bad headaches.. so I just wanna know,-0.1,Neutral,Influencer
Help me help my daughters 🥺🥰,0.4,Positive,Influencer
That’s that preteen glow up 🥰 💕 to see girls go through that in middle school,0.5,Positive,Influencer
Your before is my goal 😂 but you look amazing in both x,0.4,Positive,Fitness Coach / Gym
I need to pick my jaw up off the floor,0.3,Positive,Fitness Coach / Gym
Wdym still a bit to go 😭 you look great!,0.4,Positive,Fitness Coach / Gym
you look amazing but damn girl you looked good before too.,0.5,Positive,Fitness Coach / Gym
This is how I inspire to look well done :),0.5,Positive,Fitness Coach / Gym
How long did it take? Like how many days?,0,Neutral,Fitness Coach / Gym
How long did it take?💞x,0,Neutral,Fitness Coach / Gym
plssss how did you do it I need help I can never succeed 😭,-0.3,Negative,Fitness Coach / Gym
wait so mabye I don't have hip dips,0.1,Neutral,Fitness Coach / Gym
Should be so proud girly 👏🏻😍,0.6,Positive,Fitness Coach / Gym
"you look amazing! it's crazy how height can make such a difference, my dream is to look like you but im 5""2 and 64kg so more condensed 🤦‍♂️🤣",0.3,Positive,Fitness Coach / Gym
Manifesting this for me too! 👏👏👏❤️❤️❤️,0.7,Positive,Fitness Coach / Gym
Well done 👏🏻 you look incredible girl x,0.8,Positive,Fitness Coach / Gym
Wow how long were you working on this??,0,Neutral,Fitness Coach / Gym
Omg you should be so proud !!!,0.8,Positive,Fitness Coach / Gym
How long did this take you ? Xx,0,Neutral,Fitness Coach / Gym
The difference in you face! 🤩🤩 I need to do this because I need that definition 😭😭,0.5,Positive,Fitness Coach / Gym
"I have approx 2 stone to lose and honestly, I don't know where to start 🥺 So torn between ""it's not that bad"" and ""I'm so close!"" You did so well 💕",0.3,Positive,Fitness Coach / Gym
How do I calorie deficit? X,0,Neutral,Fitness Coach / Gym
"Hi lovely, how much of a calorie deficit were you in? Xx",0,Neutral,Fitness Coach / Gym
What do you do at the gym xx,0,Neutral,Fitness Coach / Gym
OMDS GOALS😍,0.9,Positive,Fitness Coach / Gym
How tall are you?,0,Neutral,Fitness Coach / Gym
wooow👏👏👏,0.7,Positive,Fitness Coach / Gym
can you please explain your gym workout routine? 🥺,0,Neutral,Fitness Coach / Gym
i wish,-0.3,Negative,Fitness Coach / Gym
I’ve lost nearly a stone in a month just from changing my diet slightly. I’m gonna start gym soon to speed up the process before summer comes so I can feel sooooo good,0.6,Positive,Fitness Coach / Gym
Amazing!!!,0.9,Positive,Fitness Coach / Gym
Where’s the top from in second clip x,0,Neutral,Fitness Coach / Gym
This is so inspiring to see! Congratulations. I feel like I am a very similar weight to your before and struggle so much to stay motivated. Do you mind me asking what your beginning weight was pleas?,0.4,Positive,Fitness Coach / Gym
YOU SHOULD BE A MODEL,0.8,Positive,Fitness Coach / Gym
How long has this taken? You’ve done so well! Your before is how I am and currently started my journey just wondering how long it may take 🤣 well done!,0.5,Positive,Fitness Coach / Gym
"hi babes, whats your deficit?",0,Neutral,Fitness Coach / Gym
yesss girl 🤩,0.9,Positive,Fitness Coach / Gym
Well done girl!! How long did it take? I’m 6.3 kg down in 6 weeks and it’s dragging 🤣🤣,0.4,Positive,Fitness Coach / Gym
Amazing girly ♥️,0.9,Positive,Fitness Coach / Gym
Hi would you mind sharing your height & weight?,0,Neutral,Fitness Coach / Gym
how did you do it you look incredible,0.7,Positive,Fitness Coach / Gym
niceee but how!!!!!,0.2,Neutral,Fitness Coach / Gym
Is that 25kg?,0,Neutral,Fitness Coach / Gym
You literally had my dream body before,0.5,Positive,Fitness Coach / Gym
Howwww??? I need ur routine!!!,0.3,Positive,Fitness Coach / Gym
omg getting u on my fyp when ive been a ig follower for years!!,0.4,Positive,Fitness Coach / Gym
Honestly amazing!!,0.6,Positive,Fitness Coach / Gym
Spill the beans how long did it take and how many steps/cals?!,0.1,Neutral,Fitness Coach / Gym
the glow up is insane,0.7,Positive,Fitness Coach / Gym
Look amazing! Where is ur top from hun?,0.5,Positive,Fitness Coach / Gym
Wish I had your motivation,0.1,Neutral,Fitness Coach / Gym
Insane omg🔥,0.6,Positive,Fitness Coach / Gym
how omg? i need to know 😩,0.2,Neutral,Fitness Coach / Gym
Stunning before and after but wow good on you this has inspired me 🤩,0.8,Positive,Fitness Coach / Gym
Incredible 🔥,0.7,Positive,Fitness Coach / Gym
How long did it take ?x,0.1,Neutral,Fitness Coach / Gym
💗 Congrats <3,0.9,Positive,Fitness Coach / Gym
Wow👍💯,0.8,Positive,Fitness Coach / Gym
Goals! 🔥,0.7,Positive,Fitness Coach / Gym
this is so inspiring 💛🫶🏼,0.9,Positive,Fitness Coach / Gym
You look amazing ✨❤️,0.8,Positive,Fitness Coach / Gym
ur nose is so perfect,0.6,Positive,Fitness Coach / Gym
Wow amazing 😍,0.7,Positive,Fitness Coach / Gym
I love it but comes to the point when all my clothes gets to big on me🤣,0.2,Neutral,Fitness Coach / Gym
before and after are both so good,0.5,Positive,Fitness Coach / Gym
Looking amazing where is the top form in the second clip!!!,0.6,Positive,Fitness Coach / Gym
Woww i have to do it tol,0.4,Positive,Fitness Coach / Gym
guuuuuuuurl the woo I just woooo for you 👏🏽😎👏🏽😎,0.8,Positive,Fitness Coach / Gym
amazing well done 💕,0.6,Positive,Fitness Coach / Gym
TELL ME HOW RIGHT NOW,0.1,Neutral,Fitness Coach / Gym
You look AMAZING 💖,0.7,Positive,Fitness Coach / Gym
You looked great before and great now. Xxx,0.5,Positive,Fitness Coach / Gym
You look incredible 🥺✨,0.7,Positive,Fitness Coach / Gym
Wow,0.2,Neutral,Fitness Coach / Gym
Goals 🤩,0.9,Positive,Fitness Coach / Gym
What did you do cardio or weights. I’ve just started my running journey x,0.3,Positive,Fitness Coach / Gym
That’s amazing 😍,0.8,Positive,Fitness Coach / Gym
how long did it tske you? x,0.1,Neutral,Fitness Coach / Gym
Go girl amazing 👏👏👏,0.9,Positive,Fitness Coach / Gym
Would you be able to give us some meal inspiration ideas? x,0.2,Neutral,Fitness Coach / Gym
Insane !,0.4,Positive,Fitness Coach / Gym
Wow 😍! How long did this take you?,0.5,Positive,Fitness Coach / Gym
Wow 👏👏👏,0.6,Positive,Fitness Coach / Gym
Omg what did you do you look amazing in both,0.7,Positive,Fitness Coach / Gym
How did you do it?,0.1,Neutral,Fitness Coach / Gym
Work out plan?,0.1,Neutral,Fitness Coach / Gym
Did you count steps too? X,0.1,Neutral,Fitness Coach / Gym
what did you doo? btw you look so gougerous[happy],0.6,Positive,Fitness Coach / Gym
How do you avoid over eating,0.1,Neutral,Fitness Coach / Gym
"I look like the before , proud of you gal ❤✨",0.4,Positive,Fitness Coach / Gym
How long did this take you x,0.1,Neutral,Fitness Coach / Gym
Where is your gym top from in the second clip please x,0.1,Neutral,Fitness Coach / Gym
Wowowow best transformation I’ve seen🥺,0.9,Positive,Fitness Coach / Gym
Prouddd 🔥,0.8,Positive,Fitness Coach / Gym
Well done girl! How long has this taken? 😍,0.6,Positive,Fitness Coach / Gym
Amazing ✨✨,0.7,Positive,Fitness Coach / Gym
get it gurlllll 👏🏼👏🏼👏🏼,0.9,Positive,Fitness Coach / Gym
Well done girl 💞,0.6,Positive,Fitness Coach / Gym
Howwwwww? 👏🏼,0.4,Positive,Fitness Coach / Gym
Gorgeous on both but this is amaze!! 😭😍,0.8,Positive,Fitness Coach / Gym
How long did this take?,0,Neutral,Fitness Coach / Gym
How?,0,Neutral,Fitness Coach / Gym
How long did this take !! Xx,0,Neutral,Fitness Coach / Gym
HOW,0,Neutral,Fitness Coach / Gym
Howww??,0,Neutral,Fitness Coach / Gym
How?♥️,0,Neutral,Fitness Coach / Gym
How do you maintain something like this though when you get to your goal? do you just stop working out or?,-0.1,Neutral,Fitness Coach / Gym
What did you do to achieve this,0,Neutral,Fitness Coach / Gym
HOW TELL ME PLS,0,Neutral,Fitness Coach / Gym
how.. please,0,Neutral,Fitness Coach / Gym
What’s your goal weight/ goal?,0,Neutral,Fitness Coach / Gym
Teach me your ways,0,Neutral,Fitness Coach / Gym
how long did it take and what was your weight before and after if you dont mind me asking x,0,Neutral,Fitness Coach / Gym
How long did this take you ? x,0,Neutral,Fitness Coach / Gym
HOW !! You looks amazing xx,0.7,Positive,Fitness Coach / Gym
How ?,0,Neutral,Fitness Coach / Gym
my jaw dropped to the floor🤩👑🔥,0.9,Positive,Fitness Coach / Gym
What’s your workout routine?,0,Neutral,Fitness Coach / Gym
How Long did it take?,0,Neutral,Fitness Coach / Gym
Doing cook???,0,Neutral,Fitness Coach / Gym
how?,0,Neutral,Fitness Coach / Gym
drop the workout rutine pls🙏x,-0.3,Negative,Fitness Coach / Gym
hey can u look at my first video for me please and give me some tips if u dont mind? thank you.,0.3,Positive,Fitness Coach / Gym
howww,0,Neutral,Fitness Coach / Gym
how ?,0,Neutral,Fitness Coach / Gym
i look like the before now so pls pls pls tell me how you did it 🙏🙏🙏,-0.1,Neutral,Fitness Coach / Gym
what workouts did you do?,0,Neutral,Fitness Coach / Gym
I wish and I pray x,0.1,Neutral,Fitness Coach / Gym
omg.,0,Neutral,Fitness Coach / Gym
What workouts did you use would you mind sharing?,0,Neutral,Fitness Coach / Gym
It’s impressing! How much did you lose?,0.4,Positive,Fitness Coach / Gym
I’ve lost 1 and a half but I barely even see difference 😂,-0.1,Neutral,Fitness Coach / Gym
Well done 🥰 very impressive,0.5,Positive,Fitness Coach / Gym
Girl share your secret!,0.3,Positive,Fitness Coach / Gym
"okay, You win this trend.",0.2,Neutral,Fitness Coach / Gym
howww? xxx,0,Neutral,Fitness Coach / Gym
Tell me your workout,0,Neutral,Fitness Coach / Gym
Howwww,0,Neutral,Fitness Coach / Gym
how did you do it x,0,Neutral,Fitness Coach / Gym
Do you loose fat when you loose weight? Or do you have to do them both separate? x,0,Neutral,Fitness Coach / Gym
The before ate imo but Im not gonna dim your light 💅🏻 looks good,0.3,Positive,Fitness Coach / Gym
I thought your before was your after xx looking good girl 🥰,0.5,Positive,Fitness Coach / Gym
ooh wow! u have my body shape and this is the weight I need too lose 🙈 I've lost 5lb so far u look great 👍,0.6,Positive,Fitness Coach / Gym
"how long did it take, you look great, I hope you feel it about yourself too 🥰",0.5,Positive,Fitness Coach / Gym
How long did it take you,0,Neutral,Fitness Coach / Gym
Look great in both 👍,0.4,Positive,Fitness Coach / Gym
your 5'9 67kg does not look like my 5'9 67kg😅 you look amazing tho!!,0.4,Positive,Fitness Coach / Gym
Omg my jaw dropped u look fantastic 😍,0.7,Positive,Fitness Coach / Gym
I’m excactly at your before stage! you look amazingggggg,0.5,Positive,Fitness Coach / Gym
how long did it take,0,Neutral,Fitness Coach / Gym
Both pretty!! But good job💪,0.3,Positive,Fitness Coach / Gym
I need tips on how you did this ❤️❤️,0.4,Positive,Fitness Coach / Gym
A wow what a transformation,0.5,Positive,Fitness Coach / Gym
Yesss 🔥,0.6,Positive,Fitness Coach / Gym
Can you please tell me how?,0,Neutral,Fitness Coach / Gym
Wowwwww😻😻😻,0.7,Positive,Fitness Coach / Gym
But howewww I barely eat a full meal a day 😭😭😭😭😭,-0.4,Negative,Fitness Coach / Gym
routine? 🤭,0,Neutral,Fitness Coach / Gym
Immediate follow,0.2,Neutral,Fitness Coach / Gym
Wow you look amazing!!🥺,0.6,Positive,Fitness Coach / Gym
Can you please tell me how you loosed wait I have been trying for 2 years now I still can’t I have gone down like the tiniest bit,-0.3,Negative,Fitness Coach / Gym
what gym workouts did you do?,0,Neutral,Fitness Coach / Gym
seven months of hard work how do you plan to maintain the achievement,0,Neutral,Fitness Coach / Gym
How long did that take?,0,Neutral,Fitness Coach / Gym
What weight did u go from and get to ?,0,Neutral,Fitness Coach / Gym
Woww👏🏽👏🏽,0.5,Positive,Fitness Coach / Gym
@coco this the transformation I need lord,0.4,Positive,Fitness Coach / Gym
@Light.yi,0,Neutral,Fitness Coach / Gym
💪🥰,0.6,Positive,Fitness Coach / Gym
👏🏻👏🏻,0.4,Positive,Fitness Coach / Gym
@Amber Cook,0,Neutral,Fitness Coach / Gym
🥰,0.7,Positive,Fitness Coach / Gym
🥰🥰🥰,0.6,Positive,Fitness Coach / Gym
😁,0.5,Positive,Fitness Coach / Gym
❤️,0.5,Positive,Fitness Coach / Gym
👏👏,0.5,Positive,Fitness Coach / Gym
😝😝😝,0.3,Positive,Fitness Coach / Gym
🍀🍀🍀🍀,0.4,Positive,Fitness Coach / Gym
😳😳😳,0.2,Neutral,Fitness Coach / Gym
😞😞😞,-0.5,Negative,Fitness Coach / Gym
💪💪💪,0.6,Positive,Fitness Coach / Gym
🤩,0.7,Positive,Fitness Coach / Gym
😂😂😂,0.3,Positive,Fitness Coach / Gym
❤️🏃‍♀️,0.7,Positive,Fitness Coach / Gym
👏👏👏,0.4,Positive,Fitness Coach / Gym
😍,0.5,Positive,Fitness Coach / Gym
😅😅😅,0.1,Neutral,Fitness Coach / Gym
@Sofia_c8,0,Neutral,Fitness Coach / Gym
🔥🔥🔥,0.3,Positive,Fitness Coach / Gym
☺️,0.3,Positive,Fitness Coach / Gym
your body is TEAAAA,0.3,Positive,Fitness Coach / Gym
How did you manage to drop the weight of your legs?? I find it so difficult! You look amazing xx,0.6,Positive,Fitness Coach / Gym
Go girl ❤️❤️your legs now are my dream ✨ but nothing ever works for me!! 😭,-0.1,Neutral,Fitness Coach / Gym
me-->my goal fr,0.2,Neutral,Fitness Coach / Gym
OMG HOW DO I DELETE MY STORY😭😭😭🙏🏻🙏🏻😭,-0.5,Negative,Fitness Coach / Gym
Faut voire comment j’ai ouvert la bouche !😍,0.5,Positive,Fitness Coach / Gym
any tips how to lose fat on legs😭🥀,-0.2,Neutral,Fitness Coach / Gym
"I need to get taller immediately. I’m only 48kg but I’m 4,11 so I look massive",-0.3,Negative,Fitness Coach / Gym
I’d be over the moon with your before 😭,-0.1,Neutral,Fitness Coach / Gym
I think you looked fantastic before,0.4,Positive,Fitness Coach / Gym
Wow you look insane ❤️,0.6,Positive,Fitness Coach / Gym
👏👏👏smashed it well done,0.5,Positive,Fitness Coach / Gym
wow I was thinking at first there is no way she even has 2 stone to loose 😂😍 but you look unreal well done 👏,0.6,Positive,Fitness Coach / Gym
if I had that thigh gap id never be covered up 😭🥰,0.1,Neutral,Fitness Coach / Gym
Well done you - you look amazing. You have given me inspiration and motivation - thank you. I’m tall too 5ft 11,0.8,Positive,Fitness Coach / Gym
How many calories were you eating a day? xx,0,Neutral,Fitness Coach / Gym
Would you recommend the shreddy app?,0,Neutral,Fitness Coach / Gym
How,0,Neutral,Fitness Coach / Gym
How did u slim ur legs,0,Neutral,Fitness Coach / Gym
how,0,Neutral,Fitness Coach / Gym
Sorry if it’s a rude question but what did you weight and what did you weight now? The second slide is my goal! I’m 5ft and 54kg at the moment xx💕,0.3,Positive,Fitness Coach / Gym
how did you lose it in your face? i need tips girlie 💓,0.3,Positive,Fitness Coach / Gym
no you don’t have a bit to go your littarly perfect and so skinny,0.4,Positive,Fitness Coach / Gym
how long please I am trying so hard and want to look like you before photo so bad,0.2,Neutral,Fitness Coach / Gym
this is my sign to start losing weight,0.5,Positive,Fitness Coach / Gym
WORKOUT ??,0,Neutral,Fitness Coach / Gym
Well done! Use code K23X89 for £40 off #mounjaro with #medexpress,0.5,Positive,Fitness Coach / Gym
Have you got any tips? I am 15 and I have lost 1 stone and 2 pounds in 2 months and I do a walk everyday and go to the gym twice a week 😭,0.4,Positive,Fitness Coach / Gym
"my other question is , how do you get the fat from your hips ? I hate saying that , but my hips are very prominent, yours looks gone in the second half, what did you do? ❤️❤️",0.3,Positive,Fitness Coach / Gym
Jawww droppinggg!!! 2 and a half stones really do make something out!! Lost like 3stones (Tiny bit more) and I’m unrecognizable!,0.6,Positive,Fitness Coach / Gym
you didn't need to lose anything but we'll done ❤️,0.4,Positive,Fitness Coach / Gym
You wasn’t fat in the first place xx,0.3,Positive,Fitness Coach / Gym
I am about to start my mounjaro journey and I am so worried about the “monjaro butt” I don’t wanna lose my booty! Do you have any recommendations for this?,0,Neutral,Fitness Coach / Gym
"I'm so in mood for losing weight. Lost 5kg this year, no gym. 10 incoming and I will be the happiest version of myself 💯",0.7,Positive,Fitness Coach / Gym
Any tips for a 4'10 year old who weighs 138.8 lbs (63 kg.) also I'll have to add that height has alot to do with it so I look like I weigh more than that. So please take into account that. I'm,0,Neutral,Fitness Coach / Gym
22.4 lbs,0,Neutral,Fitness Coach / Gym
that looks more like a stone loss but you look amazing before and after,0.5,Positive,Fitness Coach / Gym
still a bit to go.... are you serious,-0.3,Negative,Fitness Coach / Gym
better before,-0.4,Negative,Fitness Coach / Gym
How many cals?,0,Neutral,Fitness Coach / Gym
GYAT,0.1,Neutral,Fitness Coach / Gym
wow. girl you look amazing,0.9,Positive,Healthcare Professional
Girly pop the way my jaw dropped 😳 keeepppppoo pushing boo,0.8,Positive,Healthcare Professional
My wedding is in one month. You think I could do it? 😞,-0.3,Negative,Healthcare Professional
I’m here for the progress girl!👏 How many days a week to you go to the gym?,0.3,Positive,Healthcare Professional
Go girl!!!😆 you are pretty either way,0.7,Positive,Healthcare Professional
Please tell me how? I need to loose my belly in one month 🥺😅,-0.2,Neutral,Healthcare Professional
Wonderful progress!!,0.9,Positive,Healthcare Professional
YOU GOT THIS BABY!!!!! KEEP IT UP!!! 🥰🥰🥰,1,Positive,Healthcare Professional
Congratulations girl you look great ❤️,0.9,Positive,Healthcare Professional
Now let’s see two months of consistent! I’m rooting for you! I’ll be checking back,0.5,Positive,Healthcare Professional
😊,0.2,Neutral,Healthcare Professional
🥰,0.7,Positive,Healthcare Professional
😁,0.5,Positive,Healthcare Professional
😳😳😳,0.2,Neutral,Healthcare Professional
I started at 147. Down to 130! Long way to go but proud of myself,0.6,Positive,Fitness Coach / Gym
You got this girl ❤️,0.8,Positive,Fitness Coach / Gym
Nice transformation,0.7,Positive,Fitness Coach / Gym
This gives me motivation as I’m 123kg and I literally thought my only option would be surgery as it not shifting,0.4,Positive,Fitness Coach / Gym
I started at 149 kg and Im now down to 109 kg. I have a long way to go still but Im finally noticing clothes fitting looser.,0.7,Positive,Fitness Coach / Gym
You’re looking even prettier! I’m impressed. Great job,0.9,Positive,Fitness Coach / Gym
